name,科
鸡蛋花,夹竹桃科
杭菊,菊科
金银花,忍冬科
小粒咖啡,茜草科
罗汉果,葫芦科
芍药,芍药科
苦丁茶,冬青科
绞股蓝,葫芦科
桑,桑科
甘草,豆科
黄牛奶树,山矾科
胡桃,胡桃科
猕猴桃,猕猴桃科
无花果,桑科
沙棘,胡颓子科
茉莉花,木樨科
枸杞,茄科
刺梨,蔷薇科
洛神花,千屈菜科
酸角,豆科
金花茶,山茶科
藤茶,唇形科
紫苏叶茶,唇形科
五味子茶,木兰科
野山楂茶,蔷薇科
接骨木花茶,忍冬科
蒲公英茶,菊科
野玫瑰果茶,蔷薇科
蓝莓叶茶,杜鹃花科
黑加仑叶茶,虎耳草科
蜂花粉饮料,多种科
松花粉饮料,松科
油菜花粉饮料,十字花科
玉米花粉饮料,禾本科
荞麦花粉饮料,蓼科
向日葵花粉饮料,菊科
茶花粉饮料,山茶科
玫瑰花粉饮料,蔷薇科
菊花粉饮料,菊科
柠檬叶茶,芸香科
甜叶菊茶,菊科
香蜂草茶,唇形科
番石榴叶茶,桃金娘科
桦树汁,桦木科
竹叶饮料,禾本科
橄榄,橄榄科
黄瓜汁,葫芦科
月见草,柳叶菜科
葫芦叶,葫芦科
松针茶,松科
枫树汁,槭树科
杜仲茶,杜仲科
罗勒茶,唇形科
香椿叶,楝科
酸枣叶,鼠李科
桑寄生茶,桑寄生科
葛根,蝶形花科
黄连,毛茛科
何首乌,蓼科
艾草,菊科
洋参,五加科
紫锥花,菊科
马黛,马黛科
红景天,景天科
石斛,兰科
木蝴蝶,紫葳科
藤三七,落葵科
龙血树叶,龙血树科
辣木叶,辣木科
金鸡纳,茜草科
猴面包树叶,木棉科
罗望子叶,豆科
香樟叶茶,樟科
野葡萄叶,葡萄科
山茱萸茶,山茱萸科
野木瓜叶,蔷薇科
胡萝卜汁,伞形科
姜汁,姜科
西红柿,茄科
芹菜,伞形科
西兰花,十字花科
甘蔗,禾本科
苦瓜,葫芦科
松露茶,块菌科
松萝茶,松萝科
仙人掌果,仙人掌科
野樱桃叶茶,蔷薇科
野草莓叶茶,蔷薇科
野黑莓茶,蔷薇科
野蓝莓茶,杜鹃花科
覆盆子叶,蔷薇科
桑葚叶,桑科
苹果汁,蔷薇科
梨汁,蔷薇科
蔓越莓汁,杜鹃花科
枇杷汁,蔷薇科
桃汁,蔷薇科
李子汁,蔷薇科
南瓜汁,葫芦科
丝瓜汁,葫芦科
西瓜汁,葫芦科
冬瓜汁,葫芦科
佛手瓜汁,葫芦科
刺瓜汁,葫芦科
蛇瓜汁,葫芦科
马泡瓜汁,葫芦科
花椰菜汁,十字花科
芥蓝汁,十字花科
白菜汁,十字花科
芥菜汁,十字花科
山葵汁,十字花科
芜菁汁,十字花科
辣根汁,十字花科
牛蒡茶,菊科
菊芋茶,菊科
茼蒿茶,菊科
洋甘菊茶,菊科
甘蓝汁,十字花科
辣椒汁,茄科
灯笼果汁,茄科
苦蘵汁,茄科
马铃薯汁,茄科
香菜汁,伞形科
茴香汁,伞形科
莳萝汁,伞形科
孜然汁,伞形科
芫荽汁,伞形科
防风草汁,伞形科
龙胆草,龙胆科
金钱草,报春花科
紫草,紫草科
钩吻,茜草科
滇紫草,紫草科
白花蛇舌草,茜草科
滇龙胆,龙胆科
葛缕子汁,伞形科
酸浆果,茄科
橙子汁,芸香科
野生土豆,茄科
野生稻,禾本科
野生小麦,禾本科
野生大豆,豆科
野生燕麦,禾本科
榛子,桦木科
野生蓝莓,杜鹃花科
蕨菜,蕨科
森林蘑菇（例如牛肝菌）,牛肝菌科
野生红枣,鼠李科
山核桃,胡桃科
野生山药,山药科
板栗,板栗科
白蘑菇,蘑菇科
桑椹,桑科
野生花椒,芸香科
山药豆,山药科
松子,松科
野生芦笋,芦笋科
野生龙眼,芸香科
木耳,木耳科
野生黄花菜,百合科
草莓,蔷薇科
野生木瓜,木瓜科
松蘑,松蘑科
魔芋,天南星科
百合,百合科
莲藕,睡莲科
黄精,百合科
藜麦,藜科
野豌豆,豆科
土当归,伞形科
野蒜,葱科（或石蒜科，根据具体种类）
野韭菜,葱科
野荞麦,蓼科
野慈姑,泽泻科
百里香,唇形科
白豆蔻,姜科
山奈,姜科
柠檬草,禾本科
丁香,桃金娘科
锁阳,锁阳科
当归,伞形科
西青果,使君子科
孜然,伞形科
香果,伞形科
荜拔,胡椒科
黄栀子,茜草科
草果,姜科
蓝桉,桃金娘科
龙眼,无患子科
黄芪,豆科
桃,蔷薇科
砂仁,姜科
辛夷,木兰科
白芷,伞形科
芝麻,芝麻科
白果,银杏科
葛缕子,伞形科
艾叶,菊科
红枣,鼠李科
良姜,姜科
蛤蚧,壁虎科
玉果,肉豆蔻科
积壳,芸香科
槟榔,棕榈科
千年健,天南星科
排草,唇形科
红豆蔻,姜科
莲子,睡莲科
益智仁,姜科
长白山不老草,兰科
川木香,菊科
山楂,蔷薇科
灵芝,灵芝科
郁李,蔷薇科
木瓜,蔷薇科
天麻,兰科
玉竹,天门冬科
沙参,桔梗科
川椒,芸香科
佩兰,菊科
麦冬,百合科
百足藤,天南星科
大红袍,紫金牛科
灵香草,报春花科
葫芦巴,豆科
化橘红,芸香科
地黄,玄参科
辣椒,茄科
荆芥,唇形科
假黄皮,芸香科
五加皮,五加科
云木香,菊科
牡丹皮,毛茛科
陈皮,芸香科
甘松,忍冬科
细辛,马兜铃科
补骨脂,豆科
檀香,檀香科
知母,天门冬科
威灵仙,毛茛科
射干,鸢尾科
苦参,豆科
川贝母,百合科
淮山,薯蓣科
三七,五加科
印加萝卜,十字花科
覆盆子,蔷薇科
透骨草,透骨草科
香附子,莎草科
紫苏,唇形科
莳萝,伞形科
啤酒花,大麻科
芥菜,十字花科
番红花,鸢尾科
迷迭香,唇形科
鼠尾草,唇形科
龙蒿,菊科
罗勒,唇形科
牛至,唇形科
多香果,桃金娘科
酸豆,豆科
薰衣草,唇形科
欧芹,伞形科
韭菜,石蒜科
块茎山萮菜,十字花科
续断,川续断科
天门冬,百合科
防风,伞形科
远志,远志科
鱼腥草,三白草科
女贞,木樨科
藿香,唇形科
延胡索,罂粟科
玫瑰,蔷薇科
降真香,蝶豆花科
合欢,豆科
菘蓝,十字花科
白扁豆,豆科
丹参,唇形科
人参花,五加科
苏合香,金缕梅科
蜡梅,蜡梅科
酸枣,鼠李科
决明子,豆科
百部,百部科
党参,桔梗
玄参,玄参科
桂花枝,木犀科
牛蒡,菊科
龙脑香,龙脑香科
泽泻,泽泻科
苍耳,菊科
白芍,萝藦科
八角,五味子科
樟树,樟科
肉桂,樟科
姜,姜科
菖蒲,天南星科
月桂,樟科
木兰,木兰科
五味子,五味子科
菊花,菊科
桂花,木樨科
