name,kingdom,phylum,class,order,family,genus,species,nutritional components
Frangipani,Plantae,Angiosperms,Magnoliopsida,Gentianales,Apocynaceae,Plumeria,Plumeria rubra,"Contains iridoids, triterpenoids, flavonoids, volatile oils, etc."
Hangzhou Chrysanthemum,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Chrysanthemum,Chrysanthemum morifolium,"Contains 0.13% volatile oil, chrysanthemin, adenine, choline, stachydrine, trace amounts of vitamin A-like substances, vitamin B, amino acids, and robinine, etc."
Honeysuckle,Plantae,Angiosperms,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera japonica,"Contains organic acid compounds such as chlorogenic acid and isochlorogenic acid, flavonoids such as luteolin and quercetin, volatile oils, iridoids, carotenoids, and other chemical components"
Coffea arabica,Plantae,Angiosperms,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea arabica,"Contains a large amount of polyphenols, with a polyphenol mass fraction of 1.8% to 8.6%, mainly including caffeic acid, ferulic acid, isoferulic acid, hydroxybenzoic acid and its derivatives, etc."
Siraitia grosvenorii,Plantae,Angiosperms,Magnoliopsida,Cucurbitales,Cucurbitaceae,Siraitia,Siraitia grosvenorii,"Rich in mogrosides, polysaccharides, flavonoids, and other medicinal components, as well as mineral elements, amino acids, and other nutrients"
Paeonia lactiflora,Plantae,Angiosperms,Magnoliopsida,Saxifragales,Paeoniaceae,Paeonia,Paeonia lactiflora,"Contains components such as paeoniflorin and benzoylpaeoniflorin, as well as various new chemical components such as isopaeoniflorin and 4-O-methyl-paeoniflorin"
Kuding tea,Plantae,Angiosperms,Dicotyledons,Asterales,Aquifoliaceae,Ilex,Kudingcha,Main active ingredients are polyphenols and saponins
Jiaogulan,Plantae,Angiosperms,Magnoliopsida,Cucurbitales,Cucurbitaceae,Gynostemma,Gynostemma pentaphyllum,"Contains saponins, polysaccharides, flavonoids, and over 20 trace elements such as iron, zinc, copper, manganese, and selenium"
Mulberry,Plantae,Angiosperms,Magnoliopsida,Rosales,Moraceae,Morus,Morus alba,"Includes alkaloids, flavonoids, benzofurans, terpenoids, phenolic acids, stilbenes, and coumarins"
Licorice,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae,Glycyrrhiza,Glycyrrhiza uralensis,"Triterpenoids and flavonoids also contain alkaloids, polysaccharides, coumarins, amino acids, and elements such as Zn, Ca, Sr, Ni, Mn, Fe, Cu, Cr, etc. The pharmacopoeia stipulates that the glycyrrhizic acid content in licorice should not be less than 2.0%."
Yellow Milk Tree,Plantae,Angiosperms,Magnoliopsida,Ericales,Symplocaceae,Symplocos,Yellow Milk Tree,"10 triterpenoid acids, among which compounds 1, 4, and 6 are of the oleanane type, and the rest are of the ursane type. They were identified as 19α-hydroxy-4-oxo-3,24-dinor-2,4-secoolean-12-en-2,28-dioic acid (1), negundonorin A (2), 2α,3β,19α,23-tetrahydroxyurs-12-en-28-oic acid (3), 2α,3β,19α,23-tetrahydroxylean-12-en-28-oic acid (4), 2α,3β,23-trihydroxyurs-12-en-28-oic acid (5), and 2α,3β,23-trihydroxylean-12-en-28-oic acid.tetrahydroxyurs-12-en-28-oic acid, 6), 2α,3α,19α,23-tetrahydroxyurs-12-en-28-oic acid (2α,3α,19α,23-tetrahydroxyurs-12-en-28-oic acid, 7), 1α,3β,19α,23-tetrahydroxyurs-12-en-28-oic acid (1α,3β,19α,23-"
Walnut,Plantae,Angiosperms,Magnoliopsida,Fagales,Juglandaceae,Juglans,Walnut,"Contains a large amount of unsaturated vitamin B, fatty acids, amino acids, trace element zinc, carotene, etc."
Kiwi,Plantae,Angiosperms,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,Kiwi,"Rich in vitamin C, amino acids, and various minerals"
