EntityA,EntityB,Relation
Acanthopanax gracilistylus,Acanthopanax gracilistylus,belongs to
Acanthopanax gracilistylus,Angiospermae,belongs to
Acanthopanax gracilistylus,Angiosperms,belongs to
Acanthopanax gracilistylus,Apiales,belongs to
Acanthopanax gracilistylus,Araliaceae,belongs to
Acanthopanax gracilistylus,Dicotyledons,belongs to
Acanthopanax gracilistylus,Lysionotus,belongs to
Acanthopanax gracilistylus,Plantae,belongs to
Acer truncatum,Acer,belongs to
Acer truncatum,Acer truncatum,belongs to
Acer truncatum,Angiosperms,belongs to
Acer truncatum,Magnoliopsida,belongs to
Acer truncatum,Plantae,belongs to
Acer truncatum,Sapindaceae,belongs to
Acer truncatum,Sapindales,belongs to
Acorn,Angiosperms,belongs to
Acorn,Dicotyledons,belongs to
Acorn,Fagaceae,belongs to
Acorn,Fagales,belongs to
Acorn,Magnoliopsida,belongs to
Acorn,Oak,belongs to
Acorn,Plantae,belongs to
Acorn,Quercus,belongs to
Actinidia callosa var. discolor,Actinidia,belongs to
Actinidia callosa var. discolor,Actinidia callosa var. discolor,belongs to
Actinidia callosa var. discolor,Angiosperms,belongs to
Actinidia callosa var. discolor,Dicotyledons,belongs to
Actinidia callosa var. discolor,Plantae,belongs to
Actinidia callosa var. discolor,Rosaceae,belongs to
Actinidia callosa var. discolor,Rosales,belongs to
Actinidia callosa var. henryi,Actinidia,belongs to
Actinidia callosa var. henryi,Actinidia callosa var. henryi,belongs to
Actinidia callosa var. henryi,Actinidiaceae,belongs to
Actinidia callosa var. henryi,Angiosperms,belongs to
Actinidia callosa var. henryi,Dicotyledons,belongs to
Actinidia callosa var. henryi,Plantae,belongs to
Actinidia callosa var. henryi,Rosales,belongs to
Actinidia eriantha,Actinidia,belongs to
Actinidia eriantha,Actinidia eriantha,belongs to
Actinidia eriantha,Actinidiaceae,belongs to
Actinidia eriantha,Angiosperms,belongs to
Actinidia eriantha,Dicotyledons,belongs to
Actinidia eriantha,Plantae,belongs to
Actinidia eriantha,Rosales,belongs to
Actinidia fulvicoma,Actinidia,belongs to
Actinidia fulvicoma,Actinidia fulvicoma,belongs to
Actinidia fulvicoma,Angiosperms,belongs to
Actinidia fulvicoma,Dicotyledons,belongs to
Actinidia fulvicoma,Plantae,belongs to
Actinidia fulvicoma,Rosaceae,belongs to
Actinidia fulvicoma,Rosales,belongs to
Actinidia latifolia,Actinidia,belongs to
Actinidia latifolia,Actinidia latifolia,belongs to
Actinidia latifolia,Angiosperms,belongs to
Actinidia latifolia,Dicotyledons,belongs to
Actinidia latifolia,Plantae,belongs to
Actinidia latifolia,Rosaceae,belongs to
Actinidia latifolia,Rosales,belongs to
Actinidia melliana,Actinidia,belongs to
Actinidia melliana,Actinidia melliana,belongs to
Actinidia melliana,Angiosperms,belongs to
Actinidia melliana,Dicotyledons,belongs to
Actinidia melliana,Plantae,belongs to
Actinidia melliana,Rosaceae,belongs to
Actinidia melliana,Rosales,belongs to
Adenophora stricta,Adenophora,belongs to
Adenophora stricta,Adenophora stricta,belongs to
Adenophora stricta,Angiosperms,belongs to
Adenophora stricta,Asterales,belongs to
Adenophora stricta,Campanulaceae,belongs to
Adenophora stricta,Magnoliopsida,belongs to
Adenophora stricta,Plantae,belongs to
African Warthog,African Warthog,belongs to
African Warthog,Animalia,belongs to
African Warthog,Artiodactyla,belongs to
African Warthog,Chordata,belongs to
African Warthog,Mammalia,belongs to
African Warthog,Suidae,belongs to
African Warthog,Warthog genus,belongs to
African Wild Elephant,African Elephant,belongs to
African Wild Elephant,Animalia,belongs to
African Wild Elephant,Chordata,belongs to
African Wild Elephant,Elephantidae,belongs to
African Wild Elephant,Loxodonta,belongs to
African Wild Elephant,Mammalia,belongs to
African Wild Elephant,Proboscidea,belongs to
Agarwood,30,belongs to
Agarwood,Angiosperms,belongs to
Agarwood,Aquilaria,belongs to
Agarwood,Aquilaria sinensis,belongs to
Agarwood,"Aquilaria, Gyrinops",belongs to
Agarwood,Dicotyledons,belongs to
Agarwood,Magnoliopsida,belongs to
Agarwood,Malvales,belongs to
Agarwood,Myrtales,belongs to
Agarwood,Plantae,belongs to
Agarwood,Thymelaeaceae,belongs to
Agastache,Agastache,belongs to
Agastache,Angiosperms,belongs to
Agastache,Lamiaceae,belongs to
Agastache,Lamiales,belongs to
Agastache,Magnoliopsida,belongs to
Agastache,Plantae,belongs to
Ailanthus bark,Ailanthus,belongs to
Ailanthus bark,Ailanthus altissima,belongs to
Ailanthus bark,Angiosperms,belongs to
Ailanthus bark,Dicotyledons,belongs to
Ailanthus bark,Plantae,belongs to
Ailanthus bark,Sapindales,belongs to
Ailanthus bark,Simaroubaceae,belongs to
Albizia,Albizia,belongs to
Albizia,Fabaceae,belongs to
Albizia,Fabales,belongs to
Albizia,Magnoliopsida,belongs to
Albizia,Plantae,belongs to
Albizia,Tracheophyta,belongs to
Alfalfa,Angiosperms,belongs to
Alfalfa,Fabaceae,belongs to
Alfalfa,Magnoliopsida,belongs to
Alfalfa,Medicago,belongs to
Alfalfa,Plantae,belongs to
Alfalfa,Purple Alfalfa,belongs to
Alfalfa,Rosales,belongs to
Alishan Camellia,Alishan Camellia,belongs to
Alishan Camellia,Angiosperms,belongs to
Alishan Camellia,Camellia,belongs to
Alishan Camellia,Magnoliopsida,belongs to
Alishan Camellia,Parietales,belongs to
Alishan Camellia,Plantae,belongs to
Alishan Camellia,Theaceae,belongs to
Alisma,Alisma,belongs to
Alisma,Alismataceae,belongs to
Alisma,Alismatales,belongs to
Alisma,Angiosperms,belongs to
Alisma,Magnoliopsida,belongs to
Alisma,Plantae,belongs to
Alligator snapping turtle,Animalia,belongs to
Alligator snapping turtle,Chelydridae,belongs to
Alligator snapping turtle,Chordata,belongs to
Alligator snapping turtle,Macrochelys,belongs to
Alligator snapping turtle,Macrochelys temminckii,belongs to
Alligator snapping turtle,Reptilia,belongs to
Alligator snapping turtle,Testudines,belongs to
Allium macrostemon,Allium,belongs to
Allium macrostemon,Allium macrostemon,belongs to
Allium macrostemon,Amaryllidaceae,belongs to
Allium macrostemon,Angiosperms,belongs to
Allium macrostemon,Asparagales,belongs to
Allium macrostemon,Magnoliopsida,belongs to
Allium macrostemon,Plantae,belongs to
Allspice,Angiosperms,belongs to
Allspice,Magnoliopsida,belongs to
Allspice,Myrtaceae,belongs to
Allspice,Myrtales,belongs to
Allspice,Pimenta,belongs to
Allspice,Pimenta dioica,belongs to
Allspice,Plantae,belongs to
Almond,Almond,belongs to
Almond,Angiosperms,belongs to
Almond,Dicotyledons,belongs to
Almond,Magnoliopsida,belongs to
Almond,Plantae,belongs to
Almond,Plum,belongs to
Almond,Prunus,belongs to
Almond,Rosaceae,belongs to
Almond,Rosales,belongs to
Aloe Vera,Aloe,belongs to
Aloe Vera,Aloe Vera,belongs to
Aloe Vera,Angiosperms,belongs to
Aloe Vera,Asparagales,belongs to
Aloe Vera,Liliaceae,belongs to
Aloe Vera,Monocotyledon,belongs to
Aloe Vera,Plantae,belongs to
Alpaca,Alpaca,belongs to
Alpaca,Animalia,belongs to
Alpaca,Artiodactyla,belongs to
Alpaca,Camelidae,belongs to
Alpaca,Chordata,belongs to
Alpaca,Mammalia,belongs to
Alpaca,Vicugna,belongs to
Alpine Berry,Alpine Berry,belongs to
