EntityA,EntityB,Relation
Acanthopanax gracilistylus,16α-hydroxy-(-)-kaur-19-oic acid,contains
Acanthopanax gracilistylus,B1,contains
Acanthopanax gracilistylus,Phenylethanoid glycosides,contains
Acanthopanax gracilistylus,Syringin,contains
Acanthopanax gracilistylus,dextro-sesamin,contains
Acanthopanax gracilistylus,eleutheroside B1,contains
Acanthopanax gracilistylus,etc.,contains
Acanthopanax gracilistylus,linolenic acid,contains
Acanthopanax gracilistylus,palmitic acid,contains
Acanthopanax gracilistylus,sesamin,contains
Acanthopanax gracilistylus,stearic acid,contains
Acanthopanax gracilistylus,syringin,contains
Acanthopanax gracilistylus,terpenoids,contains
Acanthopanax gracilistylus,vitamins A,contains
Acanthopanax gracilistylus,β-sitosterol,contains
Acanthopanax gracilistylus,β-sitosterol glucoside,contains
Acer truncatum,Oil: The kernel has a high oil content,contains
Acer truncatum,linoleic acid.,contains
Acer truncatum,rich in essential fatty acids such as oleic acid,contains
Acer truncatum,with excellent oil quality,contains
Acorn,Contains a certain amount of starch,contains
Acorn,Rich in starch,contains
Acorn,especially rich in antioxidants such as tannins.,contains
Acorn,fat,contains
Acorn,minerals,contains
Acorn,minerals.,contains
Acorn,protein,contains
Acorn,vitamins,contains
Actinidia callosa var. discolor,Vitamin C,contains
Actinidia callosa var. discolor,Vitamin K,contains
Actinidia callosa var. discolor,etc.,contains
Actinidia callosa var. discolor,fiber,contains
Actinidia callosa var. henryi,The fruit of Actinidia callosa var. henryi contains various vitamins,contains
Actinidia callosa var. henryi,amino acids,contains
Actinidia callosa var. henryi,minerals,contains
Actinidia callosa var. henryi,offering high nutritional value.,contains
Actinidia eriantha,5 semi-essential amino acids for humans. Additionally,contains
Actinidia eriantha,The fruit of Actinidia eriantha is extremely rich in nutrients,contains
Actinidia eriantha,including 6 essential amino acids,contains
Actinidia eriantha,iron,contains
Actinidia eriantha,it contains various essential minerals such as calcium,contains
Actinidia eriantha,magnesium,contains
Actinidia eriantha,which is known as the 'king of fruits.' It also contains 15 amino acids,contains
Actinidia eriantha,with a high content of vitamins. The vitamin C content is 8-10 times higher than that of the Chinese kiwi fruit,contains
Actinidia eriantha,zinc.,contains
Actinidia fulvicoma,Vitamin C,contains
Actinidia fulvicoma,Vitamin K,contains
Actinidia fulvicoma,etc.,contains
Actinidia fulvicoma,fiber,contains
Actinidia latifolia,Vitamin C,contains
Actinidia latifolia,Vitamin K,contains
Actinidia latifolia,etc.,contains
Actinidia latifolia,fiber,contains
Actinidia melliana,Vitamin C,contains
Actinidia melliana,Vitamin K,contains
Actinidia melliana,etc.,contains
Actinidia melliana,fiber,contains
Adenophora stricta,Adenophorin,contains
African Warthog,B vitamins,contains
African Warthog,Contains protein,contains
African Warthog,fat,contains
African Warthog,other nutrients,contains
African Wild Elephant,Besides containing protein,contains
African Wild Elephant,actin,contains
African Wild Elephant,actomyosin,contains
African Wild Elephant,albumin,contains
African Wild Elephant,carbohydrates (such as glycogen),contains
African Wild Elephant,hemoglobin. The vitamins it contains are much richer than those in the meat of general warm-blooded animals.,contains
African Wild Elephant,inorganic salts. The triglycerides in fat tissue contain a very high level of palmitic acid. The main proteins include myosin,contains
African Wild Elephant,it also has fat,contains
African Wild Elephant,myoglobin,contains
African Wild Elephant,non-protein nitrogenous substances (such as creatine),contains
African Wild Elephant,organic acids,contains
African Wild Elephant,tropomyoglobin,contains
Agarwood,Monoterpenes,contains
Agarwood,The main active ingredients are primarily composed of volatile oils (agarwood essential oil),contains
Agarwood,aliphatic compounds,contains
Agarwood,aromatic compounds,contains
Agarwood,benzylacetone,contains
Agarwood,chromones,contains
Agarwood,diterpenes,contains
Agarwood,flavonoids,contains
Agarwood,in addition to fatty acids,contains
Agarwood,other substances.,contains
Agarwood,phenolic acids,contains
Agarwood,sesquiterpenes,contains
Agarwood,sterols,contains
Agarwood,triterpenes,contains
Agastache,Volatile oils,contains
Agastache,etc.,contains
Agastache,flavonoids,contains
Agastache,terpenoids,contains
Ailanthus bark,Azadirachtin,contains
Ailanthus bark,fatty oils,contains
Ailanthus bark,tannins,contains
Albizia,Flavonoids,contains
Albizia,etc.,contains
Albizia,polysaccharides,contains
Albizia,volatile oils,contains
