EntityA,EntityB,Relation
Acanthopanax gracilistylus,Acanthopanax gracilistylus,belongs to
Acanthopanax gracilistylus,Angiospermae,belongs to
Acanthopanax gracilistylus,Angiosperms,belongs to
Acanthopanax gracilistylus,Apiales,belongs to
Acanthopanax gracilistylus,Araliaceae,belongs to
Acanthopanax gracilistylus,Dicotyledons,belongs to
Acanthopanax gracilistylus,Lysionotus,belongs to
Acanthopanax gracilistylus,Plantae,belongs to
Acanthopanax gracilistylus,16α-hydroxy-(-)-kaur-19-oic acid,contains
Acanthopanax gracilistylus,B1,contains
Acanthopanax gracilistylus,Phenylethanoid glycosides,contains
Acanthopanax gracilistylus,Syringin,contains
Acanthopanax gracilistylus,dextro-sesamin,contains
Acanthopanax gracilistylus,eleutheroside B1,contains
Acanthopanax gracilistylus,etc.,contains
Acanthopanax gracilistylus,linolenic acid,contains
Acanthopanax gracilistylus,palmitic acid,contains
Acanthopanax gracilistylus,sesamin,contains
Acanthopanax gracilistylus,stearic acid,contains
Acanthopanax gracilistylus,syringin,contains
Acanthopanax gracilistylus,terpenoids,contains
Acanthopanax gracilistylus,vitamins A,contains
Acanthopanax gracilistylus,β-sitosterol,contains
Acanthopanax gracilistylus,β-sitosterol glucoside,contains
Acer truncatum,Acer,belongs to
Acer truncatum,Acer truncatum,belongs to
Acer truncatum,Angiosperms,belongs to
Acer truncatum,Magnoliopsida,belongs to
Acer truncatum,Plantae,belongs to
Acer truncatum,Sapindaceae,belongs to
Acer truncatum,Sapindales,belongs to
Acer truncatum,Oil: The kernel has a high oil content,contains
Acer truncatum,linoleic acid.,contains
Acer truncatum,rich in essential fatty acids such as oleic acid,contains
Acer truncatum,with excellent oil quality,contains
Acorn,Angiosperms,belongs to
Acorn,Dicotyledons,belongs to
Acorn,Fagaceae,belongs to
Acorn,Fagales,belongs to
Acorn,Magnoliopsida,belongs to
Acorn,Oak,belongs to
Acorn,Plantae,belongs to
Acorn,Quercus,belongs to
Acorn,Contains a certain amount of starch,contains
Acorn,Rich in starch,contains
Acorn,especially rich in antioxidants such as tannins.,contains
Acorn,fat,contains
Acorn,minerals,contains
Acorn,minerals.,contains
Acorn,protein,contains
Acorn,vitamins,contains
Actinidia callosa var. discolor,Actinidia,belongs to
Actinidia callosa var. discolor,Actinidia callosa var. discolor,belongs to
Actinidia callosa var. discolor,Angiosperms,belongs to
Actinidia callosa var. discolor,Dicotyledons,belongs to
Actinidia callosa var. discolor,Plantae,belongs to
Actinidia callosa var. discolor,Rosaceae,belongs to
Actinidia callosa var. discolor,Rosales,belongs to
Actinidia callosa var. discolor,Vitamin C,contains
Actinidia callosa var. discolor,Vitamin K,contains
Actinidia callosa var. discolor,etc.,contains
Actinidia callosa var. discolor,fiber,contains
Actinidia callosa var. henryi,Actinidia,belongs to
Actinidia callosa var. henryi,Actinidia callosa var. henryi,belongs to
Actinidia callosa var. henryi,Actinidiaceae,belongs to
Actinidia callosa var. henryi,Angiosperms,belongs to
Actinidia callosa var. henryi,Dicotyledons,belongs to
Actinidia callosa var. henryi,Plantae,belongs to
Actinidia callosa var. henryi,Rosales,belongs to
Actinidia callosa var. henryi,The fruit of Actinidia callosa var. henryi contains various vitamins,contains
Actinidia callosa var. henryi,amino acids,contains
Actinidia callosa var. henryi,minerals,contains
Actinidia callosa var. henryi,offering high nutritional value.,contains
Actinidia eriantha,Actinidia,belongs to
Actinidia eriantha,Actinidia eriantha,belongs to
Actinidia eriantha,Actinidiaceae,belongs to
Actinidia eriantha,Angiosperms,belongs to
Actinidia eriantha,Dicotyledons,belongs to
Actinidia eriantha,Plantae,belongs to
Actinidia eriantha,Rosales,belongs to
Actinidia eriantha,5 semi-essential amino acids for humans. Additionally,contains
Actinidia eriantha,The fruit of Actinidia eriantha is extremely rich in nutrients,contains
Actinidia eriantha,including 6 essential amino acids,contains
Actinidia eriantha,iron,contains
Actinidia eriantha,it contains various essential minerals such as calcium,contains
Actinidia eriantha,magnesium,contains
Actinidia eriantha,which is known as the 'king of fruits.' It also contains 15 amino acids,contains
Actinidia eriantha,with a high content of vitamins. The vitamin C content is 8-10 times higher than that of the Chinese kiwi fruit,contains
Actinidia eriantha,zinc.,contains
Actinidia fulvicoma,Actinidia,belongs to
Actinidia fulvicoma,Actinidia fulvicoma,belongs to
Actinidia fulvicoma,Angiosperms,belongs to
Actinidia fulvicoma,Dicotyledons,belongs to
Actinidia fulvicoma,Plantae,belongs to
Actinidia fulvicoma,Rosaceae,belongs to
Actinidia fulvicoma,Rosales,belongs to
Actinidia fulvicoma,Vitamin C,contains
Actinidia fulvicoma,Vitamin K,contains
Actinidia fulvicoma,etc.,contains
Actinidia fulvicoma,fiber,contains
Actinidia latifolia,Actinidia,belongs to
Actinidia latifolia,Actinidia latifolia,belongs to
Actinidia latifolia,Angiosperms,belongs to
Actinidia latifolia,Dicotyledons,belongs to
Actinidia latifolia,Plantae,belongs to
Actinidia latifolia,Rosaceae,belongs to
Actinidia latifolia,Rosales,belongs to
Actinidia latifolia,Vitamin C,contains
Actinidia latifolia,Vitamin K,contains
Actinidia latifolia,etc.,contains
Actinidia latifolia,fiber,contains
Actinidia melliana,Actinidia,belongs to
Actinidia melliana,Actinidia melliana,belongs to
Actinidia melliana,Angiosperms,belongs to
Actinidia melliana,Dicotyledons,belongs to
Actinidia melliana,Plantae,belongs to
Actinidia melliana,Rosaceae,belongs to
Actinidia melliana,Rosales,belongs to
Actinidia melliana,Vitamin C,contains
Actinidia melliana,Vitamin K,contains
Actinidia melliana,etc.,contains
Actinidia melliana,fiber,contains
Adenophora stricta,Adenophora,belongs to
Adenophora stricta,Adenophora stricta,belongs to
Adenophora stricta,Angiosperms,belongs to
Adenophora stricta,Asterales,belongs to
Adenophora stricta,Campanulaceae,belongs to
Adenophora stricta,Magnoliopsida,belongs to
Adenophora stricta,Plantae,belongs to
Adenophora stricta,Adenophorin,contains
African Warthog,African Warthog,belongs to
African Warthog,Animalia,belongs to
African Warthog,Artiodactyla,belongs to
African Warthog,Chordata,belongs to
African Warthog,Mammalia,belongs to
African Warthog,Suidae,belongs to
African Warthog,Warthog genus,belongs to
African Warthog,B vitamins,contains
African Warthog,Contains protein,contains
African Warthog,fat,contains
African Warthog,other nutrients,contains
African Wild Elephant,African Elephant,belongs to
African Wild Elephant,Animalia,belongs to
African Wild Elephant,Chordata,belongs to
African Wild Elephant,Elephantidae,belongs to
African Wild Elephant,Loxodonta,belongs to
African Wild Elephant,Mammalia,belongs to
African Wild Elephant,Proboscidea,belongs to
African Wild Elephant,Besides containing protein,contains
African Wild Elephant,actin,contains
African Wild Elephant,actomyosin,contains
African Wild Elephant,albumin,contains
African Wild Elephant,carbohydrates (such as glycogen),contains
African Wild Elephant,hemoglobin. The vitamins it contains are much richer than those in the meat of general warm-blooded animals.,contains
African Wild Elephant,inorganic salts. The triglycerides in fat tissue contain a very high level of palmitic acid. The main proteins include myosin,contains
African Wild Elephant,it also has fat,contains
African Wild Elephant,myoglobin,contains
African Wild Elephant,non-protein nitrogenous substances (such as creatine),contains
African Wild Elephant,organic acids,contains
African Wild Elephant,tropomyoglobin,contains
Agarwood,30,belongs to
Agarwood,Angiosperms,belongs to
Agarwood,Aquilaria,belongs to
Agarwood,Aquilaria sinensis,belongs to
