实体A,实体B,关系,
鸡蛋花,植物界,属于,
鸡蛋花,被子植物门,属于,
鸡蛋花,木兰纲,属于,
鸡蛋花,龙胆目,属于,
鸡蛋花,夹竹桃科,属于,
鸡蛋花,鸡蛋花属,属于,
鸡蛋花,鸡蛋花,属于,
鸡蛋花,环烯醚萜类,含有,
鸡蛋花,三萜类,含有,
鸡蛋花,黄酮类,含有,
鸡蛋花,挥发油,含有,
杭菊,植物界,属于,
杭菊,被子植物门,属于,
杭菊,双子叶植物纲,属于,
杭菊,菊目,属于,
杭菊,菊科,属于,
杭菊,菊属,属于,
杭菊,杭菊花种,属于,
杭菊,挥发油0.13%,含有,
杭菊,菊甙,含有,
杭菊,腺嘌呤,含有,
杭菊,胆碱,含有,
杭菊,水苏碱,含有,
杭菊,微量维生素A样物质,含有,
杭菊,维生素B,含有,
杭菊,氨基酸,含有,
杭菊,刺槐树碱,含有,
金银花,植物界,属于,
金银花,被子植物门,属于,
金银花,木兰纲,属于,
金银花,川续断目,属于,
金银花,忍冬科,属于,
金银花,忍冬属,属于,
金银花,忍冬,属于,
金银花,绿原酸,含有,
金银花,异绿原酸,含有,
金银花,木犀草苷,含有,
金银花,槲皮素,含有,
金银花,挥发油类,含有,
金银花,环烯醚萜类,含有,
金银花,胡萝卜素,含有,
小粒咖啡,植物界,属于,
小粒咖啡,被子植物门,属于,
小粒咖啡,木兰纲,属于,
小粒咖啡,龙胆目,属于,
小粒咖啡,茜草科,属于,
小粒咖啡,咖啡属,属于,
小粒咖啡,小粒咖啡,属于,
小粒咖啡,大量的多酚类物质,含有,
小粒咖啡,其多酚质量分数达到1.8%~8.6%,含有,
小粒咖啡,主要包括咖啡酸,含有,
小粒咖啡,阿魏酸,含有,
小粒咖啡,异阿魏酸,含有,
小粒咖啡,羟基苯甲酸,含有,
小粒咖啡,其衍生物,含有,
罗汉果,植物界,属于,
罗汉果,被子植物门,属于,
罗汉果,木兰纲,属于,
罗汉果,葫芦目,属于,
罗汉果,葫芦科,属于,
罗汉果,罗汉果属,属于,
罗汉果,罗汉果,属于,
罗汉果,富含罗汉果皂苷,含有,
罗汉果,多糖类,含有,
罗汉果,黄酮类,含有,
罗汉果,矿物质元素,含有,
罗汉果,氨基酸,含有,
芍药,植物界,属于,
芍药,被子植物门,属于,
芍药,木兰纲,属于,
芍药,虎耳草木,属于,
芍药,芍药科,属于,
芍药,芍药属,属于,
芍药,芍药,属于,
芍药,芍药苷和苯甲酰芍药苷,含有,
苦丁茶,植物界,属于,
苦丁茶,被子植物门,属于,
苦丁茶,双子叶植物纲,属于,
苦丁茶,管状花目,属于,
苦丁茶,冬青科,属于,
苦丁茶,冬青属,属于,
苦丁茶,苦丁茶,属于,
苦丁茶,主要活性成分为多酚和皂苷类成分,含有,
绞股蓝,植物界,属于,
绞股蓝,被子植物门,属于,
绞股蓝,木兰纲,属于,
绞股蓝,葫芦目,属于,
绞股蓝,葫芦科,属于,
绞股蓝,绞股蓝属,属于,
绞股蓝,绞股蓝,属于,
绞股蓝,其含有皂苷,含有,
绞股蓝,多糖,含有,
绞股蓝,黄酮类,含有,
绞股蓝,铁,含有,
绞股蓝,锌,含有,
绞股蓝,铜,含有,
绞股蓝,锰,含有,
绞股蓝,硒,含有,
桑,植物界,属于,
桑,被子植物门,属于,
桑,木兰纲,属于,
桑,蔷薇目,属于,
桑,桑科,属于,
桑,桑属,属于,
桑,桑,属于,
桑,包括生物碱,含有,
桑,黄酮类,含有,
桑,苯并呋喃类,含有,
桑,萜类,含有,
桑,酚酸类,含有,
桑,芪类,含有,
桑,香豆素类化合物,含有,
甘草,植物界,属于,
甘草,被子植物门,属于,
甘草,木兰纲,属于,
甘草,豆目,属于,
甘草,豆科,属于,
甘草,甘草属,属于,
甘草,甘草,属于,
甘草,三萜类和黄酮类还含有生物碱,含有,
甘草,多糖,含有,
甘草,香豆素,含有,
甘草,氨基酸,含有,
甘草,Zn,含有,
甘草,Ca,含有,
甘草,Sr,含有,
甘草,Ni,含有,
甘草,Mn,含有,
甘草,Fe,含有,
甘草,Cu,含有,
甘草,Cr,含有,
甘草,甘草中的甘草酸含量不少于2.0%,含有,
黄牛奶树,植物界,属于,
黄牛奶树,被子植物树,属于,
黄牛奶树,木兰纲,属于,
黄牛奶树,杜鹃花目,属于,
黄牛奶树,山矾科,属于,
黄牛奶树,山矾属,属于,
黄牛奶树,黄牛奶树,属于,
黄牛奶树,三萜酸类化合物,含有,
胡桃,植物界,属于,
胡桃,被子植物门,属于,
胡桃,木兰纲,属于,
胡桃,壳斗目,属于,
胡桃,胡桃科,属于,
胡桃,胡桃属,属于,
胡桃,胡桃,属于,
胡桃,的大量不饱和维生素B,含有,
胡桃,脂肪酸,含有,
胡桃,氨基酸,含有,
胡桃,微量元素锌,含有,
胡桃,胡萝卜素,含有,
猕猴桃,植物界,属于,
猕猴桃,被子植物门,属于,
猕猴桃,木兰纲,属于,
猕猴桃,杜鹃花目,属于,
猕猴桃,猕猴桃科,属于,
猕猴桃,猕猴桃属,属于,
猕猴桃,猕猴桃,属于,
猕猴桃,丰富的维生素Ｃ,含有,
猕猴桃,氨基酸和多种矿物质,含有,
无花果,植物界,属于,
无花果,被子植物门,属于,
无花果,木兰纲,属于,
无花果,蔷薇目,属于,
无花果,桑科,属于,
无花果,榕属,属于,
无花果,无花果,属于,
无花果,丰富的蛋白质,含有,
无花果,膳食纤维,含有,
无花果,多种维生素,含有,
无花果,矿物质和脂肪酸,含有,
无花果,钙,含有,
无花果,镁,含有,
无花果,饱和脂肪酸含量较高。据测定,含有,
无花果,每100克无花果干中含有蛋白质3.6克,含有,
无花果,脂肪4.3克,含有,
无花果,灰分2.9克,含有,
无花果,总膳食纤维13.3克,含有,
无花果,硫胺素0.13毫克,含有,
无花果,核黄素0.07毫克,含有,
无花果,烟酸0.79毫克,含有,
无花果,维生素C5.2毫克,含有,
无花果,钙363毫克,含有,
无花果,磷67毫克,含有,
无花果,钾898毫克,含有,
无花果,钠10毫克,含有,
无花果,镁96毫克,含有,
无花果,铁4.5毫克,含有,
无花果,锌0.8毫克,含有,
沙棘,植物界,属于,
沙棘,被子植物门,属于,
沙棘,木兰纲,属于,
沙棘,蔷薇目,属于,
沙棘,胡颓子科,属于,
沙棘,沙棘属,属于,
沙棘,沙棘,属于,
沙棘,多种维生素,含有,
沙棘,脂肪酸,含有,
沙棘,微量元素,含有,
沙棘,亚油素,含有,
沙棘,沙棘黄酮,含有,
沙棘,超氧化物,含有,
茉莉花,植物界,属于,
茉莉花,被子植物门,属于,
茉莉花,木兰纲,属于,
茉莉花,唇形目,属于,
茉莉花,木樨科,属于,
茉莉花,素馨属,属于,
茉莉花,茉莉花,属于,
茉莉花,大量有益于人体健康的化合物。如儿茶素,含有,
茉莉花,维生素c,含有,
茉莉花,a,含有,
茉莉花,咖啡碱,含有,
茉莉花,黄烷醇,含有,
茉莉花,茶多酚,含有,
茉莉花,而茉莉花茶也含有大量芳香油,含有,
茉莉花,香叶醇,含有,
茉莉花,橙花椒醇,含有,
茉莉花,丁香酯,含有,
枸杞,植物界,属于,
枸杞,被子植物门,属于,
枸杞,木兰纲,属于,
枸杞,茄目,属于,
枸杞,茄科,属于,
枸杞,枸杞属,属于,
枸杞,枸杞,属于,
枸杞,甜菜碱（betane）,含有,
枸杞,阿托品（atropine）,含有,
枸杞,天仙子胺（gyoscyamine）,含有,
刺梨,植物界,属于,
刺梨,被子植物门,属于,
刺梨,双子叶植物纲,属于,
刺梨,蔷薇目,属于,
刺梨,蔷薇科,属于,
刺梨,山楂属,属于,
刺梨,刺梨,属于,
刺梨,刺梨含有丰富的维生素C,含有,
刺梨,超氧化物歧化酶（SOD）,含有,
刺梨,黄酮类,含有,
刺梨,多酚类,含有,
刺梨,氨基酸,含有,
刺梨,微量元素,含有,
刺梨,维生素C的含量尤其丰富,含有,
刺梨,矿物质,含有,
刺梨,膳食纤维,含有,
洛神花,植物界,属于,
洛神花,被子植物门,属于,
洛神花,双子叶植物纲,属于,
洛神花,桃金娘目,属于,
洛神花,千屈菜科,属于,
洛神花,洛神花属,属于,
洛神花,洛神花,属于,
洛神花,丰富的有机酸,含有,
洛神花,维生素C,含有,
洛神花,多种氨基酸,含有,
洛神花,花青素,含有,
洛神花,黄酮类化合物,含有,
酸角,植物界,属于,
酸角,被子植物门,属于,
酸角,双子叶植物纲,属于,
酸角,蔷薇目,属于,
酸角,豆科,属于,
酸角,酸豆属,属于,
酸角,酸角,属于,
酸角,大量的有机酸,含有,
酸角,维生素,含有,
酸角,矿物质,含有,
酸角,膳食纤维,含有,
酸角,多种氨基酸。,含有,
金花茶,植物界,属于,
金花茶,被子植物门,属于,
金花茶,木兰纲,属于,
金花茶,山茶目,属于,
金花茶,山茶科,属于,
金花茶,山茶属,属于,
金花茶,金花茶,属于,
金花茶,多种氨基酸,含有,
金花茶,茶多酚,含有,
金花茶,维生素,含有,
金花茶,微量元素,含有,
藤茶,植物界,属于,
藤茶,被子植物门,属于,
藤茶,双子叶植物纲,属于,
藤茶,唇形目,属于,
藤茶,唇形科,属于,
藤茶,多种藤茶属,属于,
藤茶,藤茶,属于,
藤茶,多种黄酮类化合物,含有,
藤茶,氨基酸,含有,
藤茶,维生素,含有,
藤茶,矿物质,含有,
紫苏叶茶,植物界,属于,
紫苏叶茶,被子植物门,属于,
紫苏叶茶,双子叶植物纲,属于,
紫苏叶茶,唇形目,属于,
紫苏叶茶,唇形科,属于,
紫苏叶茶,紫苏属,属于,
紫苏叶茶,紫苏,属于,
紫苏叶茶,α-亚麻酸,含有,
紫苏叶茶,紫苏醛,含有,
紫苏叶茶,柠檬烯,含有,
紫苏叶茶,薄荷醇,含有,
紫苏叶茶,丁香油酚,含有,
紫苏叶茶,氨基酸,含有,
紫苏叶茶,微量元素,含有,
五味子茶,植物界,属于,
五味子茶,被子植物门,属于,
五味子茶,木兰纲,属于,
五味子茶,毛茛目,属于,
五味子茶,木兰科,属于,
五味子茶,五味子属,属于,
五味子茶,五味子,属于,
五味子茶,五味子素,含有,
五味子茶,去氧五味子素,含有,
五味子茶,维生素C,含有,
五味子茶,树脂,含有,
五味子茶,鞣质,含有,
五味子茶,糖类,含有,
五味子茶,脂肪油,含有,
野山楂茶,植物界,属于,
野山楂茶,被子植物门,属于,
野山楂茶,双子叶植物纲,属于,
野山楂茶,蔷薇目,属于,
野山楂茶,蔷薇科,属于,
野山楂茶,山楂属,属于,
野山楂茶,野山楂,属于,
野山楂茶,机酸,含有,
野山楂茶,维生素C,含有,
野山楂茶,黄酮类化合物,含有,
野山楂茶,果胶,含有,
野山楂茶,微量元素,含有,
接骨木花茶,植物界,属于,
接骨木花茶,被子植物门,属于,
接骨木花茶,双子叶植物纲,属于,
接骨木花茶,茜草目,属于,
接骨木花茶,忍冬科,属于,
接骨木花茶,接骨木属,属于,
接骨木花茶,接骨木,属于,
接骨木花茶,黄酮类化合物,含有,
接骨木花茶,酚酸,含有,
接骨木花茶,挥发油,含有,
接骨木花茶,糖类,含有,
接骨木花茶,氨基酸,含有,
蒲公英茶,植物界,属于,
蒲公英茶,被子植物门,属于,
蒲公英茶,双子叶植物纲,属于,
蒲公英茶,菊目,属于,
蒲公英茶,菊科,属于,
蒲公英茶,蒲公英属,属于,
蒲公英茶,蒲公英,属于,
蒲公英茶,维生素A,含有,
蒲公英茶,C和K,含有,
蒲公英茶,矿物质,含有,
蒲公英茶,铁,含有,
蒲公英茶,钙,含有,
蒲公英茶,叶酸和蒲公英甾醇,含有,
野玫瑰果茶,植物界,属于,
野玫瑰果茶,被子植物门,属于,
野玫瑰果茶,双子叶植物纲,属于,
野玫瑰果茶,蔷薇目,属于,
野玫瑰果茶,蔷薇科,属于,
野玫瑰果茶,蔷薇属,属于,
野玫瑰果茶,野玫瑰,属于,
野玫瑰果茶,丰富的维生素C,含有,
野玫瑰果茶,维生素A,含有,
野玫瑰果茶,铁,含有,
野玫瑰果茶,钾,含有,
野玫瑰果茶,镁,含有,
野玫瑰果茶,钙和抗氧化剂,含有,
蓝莓叶茶,植物界,属于,
蓝莓叶茶,被子植物门,属于,
蓝莓叶茶,双子叶植物纲,属于,
蓝莓叶茶,杜鹃花目,属于,
蓝莓叶茶,杜鹃花科,属于,
蓝莓叶茶,越橘属,属于,
蓝莓叶茶,蓝莓,属于,
蓝莓叶茶,抗氧化剂,含有,
蓝莓叶茶,维生素C,含有,
蓝莓叶茶,E和K,含有,
蓝莓叶茶,锰,含有,
蓝莓叶茶,膳食纤维和类黄酮,含有,
黑加仑叶茶,植物界,属于,
黑加仑叶茶,被子植物门,属于,
黑加仑叶茶,双子叶植物纲,属于,
黑加仑叶茶,蔷薇目,属于,
黑加仑叶茶,虎耳草科,属于,
黑加仑叶茶,黑加仑属,属于,
黑加仑叶茶,黑加仑,属于,
黑加仑叶茶,维生素C,含有,
黑加仑叶茶,钙,含有,
黑加仑叶茶,铁,含有,
黑加仑叶茶,锌,含有,
黑加仑叶茶,磷,含有,
黑加仑叶茶,镁,含有,
黑加仑叶茶,钾和抗氧化剂,含有,
蜂花粉饮料,植物界,属于,
蜂花粉饮料,被子植物门,属于,
蜂花粉饮料,双子叶植物纲,属于,
蜂花粉饮料,多种目,属于,
蜂花粉饮料,多种科,属于,
蜂花粉饮料,多种属,属于,
蜂花粉饮料,多种种,属于,
蜂花粉饮料,多种营养成分,含有,
蜂花粉饮料,包括蛋白质,含有,
蜂花粉饮料,碳水化合物,含有,
蜂花粉饮料,维生素,含有,
蜂花粉饮料,矿物质,含有,
蜂花粉饮料,氨基酸,含有,
蜂花粉饮料,酶和辅酶,含有,
松花粉饮料,植物界,属于,
松花粉饮料,被子植物门,属于,
松花粉饮料,松柏纲,属于,
松花粉饮料,松柏目,属于,
松花粉饮料,松科,属于,
松花粉饮料,松属,属于,
松花粉饮料,松,属于,
松花粉饮料,丰富的蛋白质,含有,
松花粉饮料,必需氨基酸,含有,
松花粉饮料,维生素A,含有,
松花粉饮料,维生素C,含有,
松花粉饮料,维生素D,含有,
松花粉饮料,维生素E,含有,
松花粉饮料,锌,含有,
松花粉饮料,铁,含有,
松花粉饮料,钙,含有,
松花粉饮料,镁,含有,
油菜花粉饮料,植物界,属于,
油菜花粉饮料,被子植物门,属于,
油菜花粉饮料,双子叶植物纲,属于,
油菜花粉饮料,十字花目,属于,
油菜花粉饮料,十字花科,属于,
油菜花粉饮料,芸苔属,属于,
油菜花粉饮料,油菜,属于,
油菜花粉饮料,维生素C,含有,
油菜花粉饮料,维生素E,含有,
油菜花粉饮料,维生素K,含有,
油菜花粉饮料,钙,含有,
油菜花粉饮料,铁,含有,
油菜花粉饮料,钾,含有,
油菜花粉饮料,植物固醇和长链脂肪酸。,含有,
玉米花粉饮料,植物界,属于,
玉米花粉饮料,被子植物门,属于,
玉米花粉饮料,单子叶植物纲,属于,
玉米花粉饮料,禾本目,属于,
玉米花粉饮料,禾本科,属于,
玉米花粉饮料,玉蜀黍属,属于,
玉米花粉饮料,玉米,属于,
玉米花粉饮料,维生素A,含有,
玉米花粉饮料,维生素C,含有,
玉米花粉饮料,维生素E,含有,
玉米花粉饮料,锌,含有,
玉米花粉饮料,硒,含有,
玉米花粉饮料,氨基酸,含有,
荞麦花粉饮料,植物界,属于,
荞麦花粉饮料,被子植物门,属于,
荞麦花粉饮料,双子叶植物纲,属于,
荞麦花粉饮料,蓼目,属于,
荞麦花粉饮料,蓼科,属于,
荞麦花粉饮料,荞麦属,属于,
荞麦花粉饮料,荞麦,属于,
荞麦花粉饮料,丰富的蛋白质,含有,
荞麦花粉饮料,赖氨酸,含有,
荞麦花粉饮料,膳食纤维,含有,
荞麦花粉饮料,维生素B群和矿物质。,含有,
向日葵花粉饮料,植物界,属于,
向日葵花粉饮料,被子植物门,属于,
向日葵花粉饮料,双子叶植物纲,属于,
向日葵花粉饮料,菊目,属于,
向日葵花粉饮料,菊科,属于,
向日葵花粉饮料,向日葵属,属于,
向日葵花粉饮料,向日葵,属于,
向日葵花粉饮料,多种氨基酸,含有,
向日葵花粉饮料,维生素E,含有,
向日葵花粉饮料,维生素B群,含有,
向日葵花粉饮料,钾,含有,
向日葵花粉饮料,钙,含有,
向日葵花粉饮料,铁,含有,
向日葵花粉饮料,不饱和脂肪酸,含有,
茶花粉饮料,植物界,属于,
茶花粉饮料,被子植物门,属于,
茶花粉饮料,双子叶植物纲,属于,
茶花粉饮料,芸香目,属于,
茶花粉饮料,山茶科,属于,
茶花粉饮料,山茶属,属于,
茶花粉饮料,茶,属于,
茶花粉饮料,茶多酚,含有,
茶花粉饮料,氨基酸,含有,
茶花粉饮料,维生素（如维生素C）,含有,
茶花粉饮料,矿物质（如锌,含有,
茶花粉饮料,硒,含有,
茶花粉饮料,咖啡因,含有,
玫瑰花粉饮料,植物界,属于,
玫瑰花粉饮料,被子植物门,属于,
玫瑰花粉饮料,双子叶植物纲,属于,
玫瑰花粉饮料,蔷薇目,属于,
玫瑰花粉饮料,蔷薇科,属于,
玫瑰花粉饮料,蔷薇属,属于,
玫瑰花粉饮料,玫瑰,属于,
玫瑰花粉饮料,多种维生素（如维生素C）,含有,
玫瑰花粉饮料,矿物质（如钙,含有,
玫瑰花粉饮料,铁）,含有,
玫瑰花粉饮料,精油和抗氧化物质。,含有,
菊花粉饮料,植物界,属于,
菊花粉饮料,被子植物门,属于,
菊花粉饮料,双子叶植物纲,属于,
菊花粉饮料,菊目,属于,
菊花粉饮料,菊科,属于,
菊花粉饮料,菊属,属于,
菊花粉饮料,菊花,属于,
菊花粉饮料,多种活性成分,含有,
菊花粉饮料,如菊花黄酮,含有,
菊花粉饮料,挥发油,含有,
菊花粉饮料,氨基酸和微量元素,含有,
菊花粉饮料,具有清热解毒的功效。,含有,
柠檬叶茶,植物界,属于,
柠檬叶茶,被子植物门,属于,
柠檬叶茶,双子叶植物纲,属于,
柠檬叶茶,芸香目,属于,
柠檬叶茶,芸香科,属于,
柠檬叶茶,柑橘属,属于,
柠檬叶茶,柠檬,属于,
柠檬叶茶,柠檬叶含有柠檬油,含有,
柠檬叶茶,富含维生素C,含有,
柠檬叶茶,维生素P,含有,
柠檬叶茶,钙,含有,
柠檬叶茶,磷,含有,
柠檬叶茶,铁,含有,
柠檬叶茶,柠檬苦素,含有,
柠檬叶茶,类黄酮,含有,
甜叶菊茶,植物界,属于,
甜叶菊茶,被子植物门,属于,
甜叶菊茶,双子叶植物纲,属于,
甜叶菊茶,菊目,属于,
甜叶菊茶,菊科,属于,
甜叶菊茶,甜叶菊属,属于,
甜叶菊茶,甜叶菊,属于,
甜叶菊茶,甜叶菊叶含有甜菊糖苷,含有,
甜叶菊茶,低热量的天然甜味剂,含有,
甜叶菊茶,维生素A,含有,
甜叶菊茶,维生素C,含有,
甜叶菊茶,B族维生素,含有,
甜叶菊茶,铁,含有,
甜叶菊茶,钙,含有,
甜叶菊茶,钾,含有,
香蜂草茶,植物界,属于,
香蜂草茶,被子植物门,属于,
香蜂草茶,双子叶植物纲,属于,
香蜂草茶,管状花目,属于,
香蜂草茶,唇形科,属于,
香蜂草茶,香蜂草属,属于,
香蜂草茶,香蜂草,属于,
香蜂草茶,香蜂草叶含有柠檬醛,含有,
香蜂草茶,香叶醇,含有,
香蜂草茶,薄荷醇,含有,
香蜂草茶,维生素,含有,
香蜂草茶,矿物质,含有,
香蜂草茶,具有镇静和抗焦虑的效果。,含有,
番石榴叶茶,植物界,属于,
番石榴叶茶,被子植物门,属于,
番石榴叶茶,双子叶植物纲,属于,
番石榴叶茶,桃金娘目,属于,
番石榴叶茶,桃金娘科,属于,
番石榴叶茶,番石榴属,属于,
番石榴叶茶,番石榴,属于,
番石榴叶茶,番石榴叶含有多种维生素,含有,
番石榴叶茶,矿物质,含有,
番石榴叶茶,膳食纤维和抗氧化物质,含有,
番石榴叶茶,如维生素C,含有,
番石榴叶茶,钾,含有,
番石榴叶茶,钙,含有,
番石榴叶茶,镁,含有,
桦树汁,植物界,属于,
桦树汁,被子植物门,属于,
桦树汁,双子叶植物纲,属于,
桦树汁,桦木目,属于,
桦树汁,桦木科,属于,
桦树汁,桦木属,属于,
桦树汁,桦树,属于,
桦树汁,桦树汁含有多种矿物质（如钾,含有,
桦树汁,钙,含有,
桦树汁,镁,含有,
桦树汁,锰,含有,
桦树汁,维生素（如维生素C,含有,
桦树汁,B族维生素）,含有,
桦树汁,氨基酸,含有,
桦树汁,抗氧化物质和天然糖分。它是一种天然的能量饮料,含有,
桦树汁,含有桦树特有的生物活性物质。,含有,
竹叶饮料,植物界,属于,
竹叶饮料,被子植物门,属于,
竹叶饮料,单子叶植物纲,属于,
竹叶饮料,禾本目,属于,
竹叶饮料,禾本科,属于,
竹叶饮料,竹属,属于,
竹叶饮料,多种竹种,属于,
竹叶饮料,竹叶含有多种营养成分,含有,
竹叶饮料,包括氨基酸,含有,
竹叶饮料,维生素,含有,
竹叶饮料,矿物质（如钾,含有,
竹叶饮料,钙,含有,
竹叶饮料,镁,含有,
竹叶饮料,抗氧化物质,含有,
竹叶饮料,特有的生物活性成分,含有,
竹叶饮料,如竹叶黄酮,含有,
橄榄,植物界,属于,
橄榄,被子植物门,属于,
橄榄,双子叶植物纲,属于,
橄榄,蔷薇目,属于,
